Date,Strategy,Benchmark
2024-12-23,9895.190545493788,10135.081692775999
2024-12-24,9994.060674524948,10247.733223913097
2024-12-26,9994.660133739091,10248.416241109386
2024-12-27,9899.976982547249,10140.53530619845
2024-12-30,9798.41436721527,10024.815985959374
2024-12-31,9766.403799379545,9988.343499126411
2025-01-02,9744.865756304942,9963.803291140173
2025-01-03,9844.352356202518,10088.384996294426
2025-01-06,9837.643773570397,10146.49934079224
2025-01-07,9858.589805364352,10031.801915310634
2025-01-08,9856.162217866826,10046.458896039012
2025-01-10,9917.890269337266,9893.075755428918
2025-01-13,9909.789175790589,9908.414700938798
2025-01-14,9903.12128135079,9922.048734494923
2025-01-15,9775.029234022459,10102.530503436677
2025-01-16,9790.13675916885,10083.100821652564
2025-01-17,9716.486369540258,10184.334704773422
2025-01-21,9649.390854367875,10277.557606541195
2025-01-22,9600.396041621821,10335.33307347783
2025-01-23,9553.531692600482,10391.74461085146
2025-01-24,9583.354004087647,10361.406649807663
2025-01-27,9709.035477342206,10214.839999768237
2025-01-28,9636.608908151364,10302.611392943132
2025-01-29,9677.08102986681,10256.425117632898
2025-01-30,9632.3488168337,10311.471673028736
2025-01-31,9683.472421040944,10256.595608828275
2025-02-03,9735.348447884078,10187.572985070774
2025-02-04,9741.050080331712,10255.914696461557
2025-02-05,9748.178016922746,10297.496657081861
2025-02-06,9757.646398306077,10333.28823154811
2025-02-07,9719.836618638892,10238.700347802544
2025-02-10,9752.680987533862,10308.23444514617
2025-02-11,9756.256423282466,10316.073882889095
2025-02-12,9732.641842744479,10282.84072876827
2025-02-13,9816.064116767342,10391.403628460708
2025-02-14,9815.616285990329,10390.891102459796
2025-02-18,9832.165030636072,10421.39639745461
2025-02-19,9828.726528967469,10445.939762685206
2025-02-20,9836.02727156607,10402.481346500985
2025-02-21,9888.440380349042,10224.554840660292
2025-02-24,9908.79981575549,10178.029687788881
2025-02-25,9933.184081791065,10127.412746228452
2025-02-26,9932.184081791065,10132.52537726015
2025-02-27,10043.892738625627,9970.790272906219
2025-02-28,9922.231748490029,10126.389799056198
2025-03-03,10079.311377842896,9948.975819216419
2025-03-04,10193.355006367468,9831.210604632837
2025-03-05,10092.220319960485,9936.87515400389
2025-03-06,10260.059371822901,9760.484121336367
2025-03-07,10214.872162176662,9815.19074675624
2025-03-10,10464.476575035002,9553.758284869404
2025-03-11,10546.244469845786,9474.33780302356
2025-03-12,10498.905206776644,9524.613762193236
2025-03-13,10630.16188426461,9397.647285133298
2025-03-14,10434.35205013916,9591.763087631176
2025-03-17,10365.49478665587,9665.726798810212
2025-03-18,10466.628628457902,9561.256740221575
2025-03-19,10367.647684683727,9665.38581641946
2025-03-20,10389.165685097872,9637.436836940497
2025-03-21,10393.468102733767,9640.616182009817
2025-03-24,10229.934002322105,9813.264827697365
2025-03-25,10210.568899935814,9836.854705131602
2025-03-26,10319.147089802776,9719.418896376123
2025-03-27,10349.487833566853,9693.607371328071
2025-03-28,10546.706468755647,9498.394952622899
2025-03-31,10490.358649246686,9562.15550244905
2025-04-01,10460.016216272701,9589.162570694303
2025-04-02,10399.333884139593,9649.846912100189
2025-04-03,10856.620742962361,9174.295399872846
2025-04-04,11451.815472780481,8637.204459225775
2025-04-07,11450.036038138163,8621.81973367269
2025-04-08,11434.416853827435,8486.778604165098
2025-04-09,11537.503981522586,9378.054479057315
2025-04-10,11487.936922802044,8967.118077462574
2025-04-11,11469.653827414182,9127.115645004375
2025-04-14,11451.003598723413,9215.661615461964
2025-04-15,11457.79859230293,9189.849037999127
2025-04-16,11546.210745170072,8985.57848522853
2025-04-17,11545.210745170072,8998.397949740083
2025-04-21,11672.747939999765,8784.211544853255
2025-04-22,11697.73980698464,9012.758149498733
2025-04-23,11728.10217956569,9152.413591636727
2025-04-24,11791.39349387068,9345.063380337331
2025-04-25,11820.144228759755,9412.583155780037
2025-04-28,11821.106970054498,9416.172942616004
2025-04-29,11858.83093187777,9475.488092384952
2025-04-30,11861.683875477014,9479.250475245866
2025-05-01,11912.623482701347,9546.428215883036
2025-05-02,12020.078506080896,9688.13691926904
2025-05-05,11977.95230000623,9632.582047531434
2025-05-06,11916.900903034759,9552.069159137442
2025-05-07,11947.362360412877,9592.240883944143
2025-05-08,11998.043407154366,9659.077642190561
2025-05-09,11988.711288986655,9646.770703679922
2025-05-12,12230.45177399756,9965.571347981107
2025-05-13,12280.355543238165,10031.383054225698
2025-05-14,12290.0770981825,10044.203571152037
2025-05-15,12327.277886664288,10093.262938828786
2025-05-16,12367.053575475242,10157.193979850312
2025-05-19,12366.331051064693,10168.304322748962
2025-05-20,12370.184420728898,10134.11662841699
2025-05-21,12384.783545735088,9963.349700367291
